"","sgCtu1_g1_input","sgCtu1_g1_polysome","sgCtu1_g2_input","sgCtu1_g2_polysome","sgCtu2_g1_input","sgCtu2_g1_polysome","sgCtu2_g2_input","sgCtu2_g2_polysome","sgCtu1_g1_TE","sgCtu1_g2_TE","sgCtu2_g1_TE","sgCtu2_g2_TE"
"Sp140",0.0329748388973199,-0.111922472706295,0.0482532086509453,-0.182416409402117,-0.206216263819912,-0.614037547225077,-0.175357789794077,-0.742515553599548,-0.144897311603616,-0.230669618053061,-0.407821283405164,-0.56715776380547
"Ncl",-0.540394076263881,-0.790577911973514,-0.219281263642208,-0.514885761048474,-0.22315269614672,-0.67054360994362,-0.0726969612655841,-1.16839215086424,-0.250183835709633,-0.295604497406266,-0.4473909137969,-1.09569518959865
"Nucks1",0.0557658185327901,-0.348917941125023,0.00697939395418956,-0.218182041035559,-0.0540017463633484,-0.0923709158836461,-0.048486054615668,-0.728515490896479,-0.404683759657813,-0.225161434989748,-0.0383691695202977,-0.680029436280811
"Mfsd4a",0.676327602388899,-0.286477741383615,0.454141819732414,-0.000744227146320053,0.34955998943641,-0.247276044514583,1.16451406468665,0.100022467407637,-0.962805343772514,-0.454886046878734,-0.596836033950992,-1.06449159727901
"Ppp1r15b",-0.232108939538229,-0.0366773847388311,-0.254907306585751,-0.0408609234167665,-0.578276893216605,-0.295008081433267,-0.524878723861112,-0.290038179081075,0.195431554799398,0.214046383168984,0.283268811783338,0.234840544780036
"Btg2",-0.164069295152916,-0.0500575597791215,-0.171498072720087,0.0132202591685511,0.190869676418898,0.484892085919215,0.593405694278055,0.676711797512721,0.114011735373794,0.184718331888639,0.294022409500317,0.0833061032346656
"Zfp281",0.511067820448107,-0.551709248656576,0.39490225341488,-0.289482441147138,0.244459786931562,-0.502719302015197,0.807973982282414,-0.295137824962484,-1.06277706910468,-0.684384694562017,-0.747179088946759,-1.1031118072449
"Ptgs2",0.150817222621177,-0.0753170756634685,0.0755979486675162,-0.0990731336919364,-0.0843434299856938,-0.312132595635529,-0.603153891270122,-0.26807162377001,-0.226134298284646,-0.174671082359453,-0.227789165649836,0.335082267500113
"Prrc2c",0.0496172814171709,-0.177208477404837,-0.29824524133053,-0.168071840800662,-0.193406713531989,-0.492277038881018,0.130362824279807,-0.848215995439721,-0.226825758822008,0.130173400529868,-0.298870325349029,-0.978578819719528
"Fcgr3",-0.0193268837519103,0.215006529506637,0.0795568595200553,0.191894790414143,0.0799340466959197,0.264083441224871,-0.0156334907572901,0.532329915438632,0.234333413258547,0.112337930894087,0.184149394528951,0.547963406195922
"Fcer1g",0.0181080893405667,0.190611957447826,0.00148754512519034,0.0909270875389545,0.00058084754519605,0.110211809121969,0.0287655639680668,0.405668548578696,0.17250386810726,0.0894395424137642,0.109630961576773,0.376902984610629
"Slamf9",-0.231299957068978,0.292545533873618,0.0053581942589469,0.37205554548319,0.104904292369342,0.378806450362968,-0.374669026839299,0.814020315889077,0.523845490942596,0.366697351224243,0.273902157993627,1.18868934272838
"Ifi203",-0.210974278749046,-0.103271644391464,-0.102749769144338,-0.247253815496724,-0.372991825811338,-0.493574650051884,-0.457246508055281,-0.691464698662961,0.107702634357582,-0.144504046352386,-0.120582824240546,-0.23421819060768
"Desi2",0.487925410892883,-0.377126553612746,0.506469403517011,0.0396337072162982,0.276165667693031,-0.174401117910638,0.743819777026752,0.291940293548473,-0.86505196450563,-0.466835696300712,-0.450566785603669,-0.451879483478279
"Cnih4",0.0291279294043063,0.146621467433988,0.149859163088542,0.151763683660554,0.109761128085378,0.178617780989476,0.0507953994237669,0.581367030432378,0.117493538029682,0.00190452057201185,0.0688566529040981,0.530571631008611
"Rbm17",-0.0230250246319237,-0.315806845100179,-0.0675367098844628,-0.348340245579859,0.125604244648179,-0.736464095370345,0.187265082563878,-0.445045935058866,-0.292781820468255,-0.280803535695396,-0.862068340018524,-0.632311017622745
"Il15ra",-0.0273033954802342,0.159912712974086,-0.159957894181236,0.190333592272902,-0.416893045894324,-0.257266119946162,-0.718232564765731,-0.316792790336747,0.18721610845432,0.350291486454138,0.159626925948162,0.401439774428984
"Mrc1",-0.0782912753172482,-0.224626961348922,-0.107153043077988,-0.37123456319198,-0.355779712533824,-0.813227825517446,-0.142359354721188,-0.631605250381321,-0.146335686031674,-0.264081520113992,-0.457448112983622,-0.489245895660132
"Ptpa",0.051545793759801,-0.151922689122719,-0.195352123455066,0.0580282724450552,-0.172585009066578,-0.117802331810832,-0.583951926156473,-0.0736914392481562,-0.20346848288252,0.253380395900122,0.054782677255746,0.510260486908317
"Dpm2",0.0161747306080011,0.281244129533019,0.167984273388752,0.0491026696842853,0.291818601363678,0.141711306184681,0.0946902306755302,0.693128286648427,0.265069398925018,-0.118881603704467,-0.150107295178997,0.598438055972896
"Hspa5",-0.120607389300456,-0.0681493747077226,-0.265375651394642,-0.2948469216822,-0.34572013063352,-0.381404120440329,-0.456610194125234,-0.540671358005445,0.0524580145927338,-0.0294712702875577,-0.0356839898068086,-0.0840611638802109
"Mmadhc",-0.305274156352787,-0.144686313030499,0.00303037604313339,0.0505624493164296,-0.226407401633628,0.325684656667358,-0.663363636534073,0.00307231158361265,0.160587843322287,0.0475320732732962,0.552092058300985,0.666435948117686
"Rnd3",-0.0605988956143744,-0.0972430993166373,-0.012759772625893,-0.0310761563915811,-0.199712812668272,-0.195632853537292,-0.282246125256099,-0.483925985453951,-0.036644203702263,-0.0183163837656881,0.00407995913097992,-0.201679860197852
"Immp1l",-0.0616268195792218,0.122377136677746,0.056892372285243,0.0235607338416131,0.00219938151886812,0.131263333497166,0.0166213065032812,0.717800081728914,0.184003956256968,-0.03333163844363,0.129063951978298,0.701178775225633
"Rtf1",0.258313709510874,-0.199698049198906,0.00848162006701525,-0.20610140631361,0.0380217404110041,0.0264211672962436,0.944209521607393,-0.00256432717008437,-0.45801175870978,-0.214583026380625,-0.0116005731147606,-0.946773848777477
"Zfp106",-0.17634547019026,-0.405277039545034,-0.0316688714594617,-0.142168179661009,0.0220832845995833,-0.274516796106609,0.374103218819962,-0.522246683367798,-0.228931569354774,-0.110499308201547,-0.296600080706193,-0.89634990218776
"Serf2",-0.0297627376233596,0.0287197018839613,0.0746359309533986,-0.109947061942155,-0.0105438341152979,-0.0971240224212551,-0.166233286411895,0.504441052456587,0.0584824395073209,-0.184582992895553,-0.0865801883059572,0.670674338868482
"Patl2",-0.00596539720663181,-0.0578454547031964,-0.0172812076708571,0.069311711112066,0.0388766667880933,0.00425059280019369,0.84201490918014,0.016906061421567,-0.0518800574965645,0.0865929187829231,-0.0346260739878996,-0.825108847758573
"Gm14023",0.533467544300483,0.368806024508631,0.101628154685566,0.167414260631032,0.0312142340780337,0.189454580547693,1.26008931093599,-0.156952215958691,-0.164661519791851,0.0657861059454659,0.158240346469659,-1.41704152689468
"Efcab8",0.0163921678430912,0.419922787223748,-0.0864044745754091,0.351935963758755,-0.108030005826052,0.357527344954184,-0.98091326521722,0.284283034362113,0.403530619380657,0.438340438334164,0.465557350780236,1.26519629957933
"Eif2s2",-0.0750001995343226,-0.217278268896708,0.0496506630129669,-0.391517955121861,-0.0115776141264572,-0.377987321977189,-0.0488969975271392,-0.457098993766886,-0.142278069362385,-0.441168618134828,-0.366409707850732,-0.408201996239747
"Dynlrb1",0.0642314387091218,0.13636986713284,0.0523036021442316,0.059950283730311,0.0114198906589884,0.148104034309227,0.018314881815213,0.50952934080486,0.0721384284237185,0.0076466815860794,0.136684143650239,0.491214458989647
"Cebpb",0.0220429551217869,-0.234245074273742,-0.21617663552506,-0.131942031773283,0.0642076760482198,0.084184690336838,0.428614923169094,0.182033874280493,-0.256288029395529,0.0842346037517769,0.0199770142886182,-0.246581048888601
