"","sgCtu1-g1-R1-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgCtu2-g1-R2-polysome","sgCtu2-g2-R1-input","sgCtu2-g2-R2-input","sgCtu2-g2-R2-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R2-polysome"
"Aldh9a1",19.7419558111748,24.891681202475,19.5010735317711,22.9517588844969,23.0888571588439,18.4216630570275,17.0821002254594,20.8045278487188,23.9439937780427,21.6316738775314,26.34363238998,18.1475184584815,21.4614549529829,18.3889289465548,10.1178262591058,20.5232500320636,14.9843443947457,17.3872416362322,18.6539141202615,22.5095748864764
"Mgst3",134.433318142762,163.649563650315,187.400560280923,139.944795322286,143.150914384832,158.426302290437,164.792025704432,150.832826903212,150.647627520185,178.315149531002,162.851545683513,153.375801165231,112.439361818889,177.059115856828,134.29114852995,122.020050190633,154.838225412372,147.046386409278,147.062253180666,188.15695930747
"Pbx1",14.101397007982,9.00337405195905,9.51271879598592,16.8583715700287,13.3915371521295,7.36866522281101,10.0482942502702,9.36203753192348,18.9556617409505,8.76959751791813,9.97864863256819,10.5372687823441,13.063494319207,7.8809695485235,15.6366405822544,18.2843500285658,8.11651988048724,9.93556664927556,12.1467347759842,8.65752880249093
"Hsd17b7",5.64055880319281,7.41454333690746,7.61017503678874,8.93696806122002,9.69732000671445,5.52649891710826,5.02414712513512,11.4424903167954,9.97666407418445,8.76959751791813,13.17181619499,9.95186496110276,13.063494319207,8.93176548832664,9.65792506551007,6.71670001049354,8.11651988048724,7.70006415318856,4.77193151913666,8.0803602156582
"Uap1",31.9631665514259,20.6547992956708,19.5010735317711,27.0140170941423,26.3212971610821,18.4216630570275,20.599003213054,27.0458862033345,29.3313923781023,17.5391950358363,22.7513188822555,21.6599413859295,26.5935420069571,23.6429086455705,26.2143680349559,24.6279000384763,21.2278212258897,29.3099216153629,21.6905978142576,22.5095748864764
"Uhmk1",43.2442841578115,46.6057009748469,55.6494049565176,44.0755015746533,45.0232714597456,48.817407101123,41.7004211386215,46.0300178652904,38.509923326352,58.4639834527875,43.5069080379973,32.782613989515,40.1235896947072,54.6413888697629,35.872293100466,44.404850069374,47.4504239166946,41.7293799269574,39.9106999782339,47.3278241202838
"Sh2d1b1",14.101397007982,16.4179173888665,23.3061610501655,18.4832748538869,23.0888571588439,19.3427462098789,19.0917590755135,18.724075063847,22.7467940891406,15.7852755322526,19.1590053745309,17.5621146372402,17.7290280046381,25.2191025552752,14.2569370014672,16.7917500262339,18.1060828103177,19.6227441323192,15.6172304262654,20.7780691259782
"Nos1ap",241.133888836493,480.886096422284,496.088285210666,301.216446245211,313.315791645512,421.85608400593,516.984739176404,297.24469163857,348.185576189037,465.373308284189,559.203469369121,295.628929726876,198.751734999364,445.012080506627,262.143680349559,241.801200377767,422.059033785336,275.215196184933,249.008062907677,463.466375226681
"Atf6",44.6544238586097,85.7968586127863,76.1017503678874,51.9969050834619,48.9483771767491,66.3179870052991,67.8259861893241,55.9121685934319,54.8716524080145,59.0486232873154,71.0479782638855,40.9782674868937,58.3191710678884,94.571634582282,57.027748005869,48.1363500752037,87.4086756360164,56.1359515684069,45.984067366226,86.5752880249093
"Fcrla",86.9586148825558,174.771378655676,186.924924341123,117.805488079718,120.754722940754,153.82088652618,163.787196279405,106.623205224684,121.71530170505,159.60667482611,167.242151081843,115.909956605785,84.9127130748455,161.297176759781,112.215891237355,101.496800158569,179.812132736948,117.488075627684,99.3429379892996,169.11039594199
"Fcgr2b",237.373516301031,177.949040085779,193.583827498313,221.59618533616,249.128768743926,173.163632736059,203.980373280486,227.029410149144,223.078208698764,167.7916325095,204.362723994996,232.990720854053,239.808431431157,164.974962549092,238.688719476177,200.008400312474,177.31474200449,233.734205424208,220.376473792857,184.693947786473
"Fcgr4",46.0645635594079,45.5464804981458,40.9046908227395,46.106630679476,39.0201685984462,40.5276587254606,41.198006426108,38.7484331182389,46.4912545856995,35.0783900716725,39.1163026396673,41.563671308135,38.2573762205348,40.9810416523222,47.8297241339546,54.8530500856972,57.4399868465251,43.7164932568125,40.3445119345191,39.2474639046256
"Fcgr3",714.940828304688,806.596393007861,865.18177449492,734.862510124864,798.874457696,814.237507120617,829.486690359808,730.49898408814,801.325658438495,855.328077914282,873.331328322368,800.832427458151,644.776755326574,1041.33877634491,706.868134556618,688.834901076171,707.385924968619,733.244818716537,772.185282187569,732.426936690733
"Sdhc",99.6498721897396,142.994764354644,126.519159986613,89.979019343647,92.8172057785525,111.451061495017,110.028822040459,101.162016664395,86.9965107268884,136.805721279523,127.726702496873,90.1521884711661,102.175187710941,157.093993000568,90.1406339447606,78.7346501230076,139.229533334512,96.6233856642049,96.3062542953036,136.211786492524
"Tomm40l",6.11060537012554,11.1218150053612,13.3178063143803,10.5618713450782,10.3899857214798,11.0529978342165,10.5507089627838,13.2628865035583,9.97666407418445,13.4467161941411,13.5709621402927,11.7080764248268,8.39796063377593,15.761939097047,11.9574310334887,11.1945000174892,9.36521524671605,10.1839558155075,16.0510423825506,10.3890345629891
"Fcer1g",2141.0621123786,2677.70936510029,2802.92259323725,2148.12214126052,2084.92380144361,2452.84443604322,2653.75451149637,2115.82048221471,2114.85325044562,2690.51251849728,2503.0442229934,2492.06406702438,1878.34386175455,3180.75930978409,2183.15096599887,2036.27955318129,2373.76989120096,2114.28858296584,2129.58289340381,2428.14824480529
"Ndufs2",77.5576835439011,56.668295503507,58.0275846555141,56.8716149350365,54.4897028948716,43.2909081840147,60.2897655016214,58.7727911726307,54.8716524080145,59.6332631218433,53.0864107252628,60.8819974090992,53.6536373824573,54.1159908998614,66.2257718777833,57.838250090361,63.6834636776691,57.8746757320302,61.6012977924915,61.1798702042693
"Ufc1",158.405693056331,191.189296044542,197.864550956507,175.895780477649,179.862197267394,188.822046334532,227.091450056107,166.436222789751,180.976686305706,206.37786158834,212.744788846354,160.986050841368,118.971108978492,240.106872245016,154.986702241757,141.79700022153,172.94430822269,170.643357201308,166.149979257213,191.042802241633
"Dedd",15.0414901418475,12.1810354820622,15.2203500735775,15.0303553756882,15.0077571532485,9.21083152851376,11.5555383878108,14.8232260922122,13.9673297038582,12.8620763596133,10.7769405231736,14.0496917097921,15.8628145304656,7.8809695485235,23.4549608733816,9.70190001515734,11.2382582960593,17.3872416362322,12.5805467322694,13.8520460839855
"Nit1",17.8617695434439,18.0067481039181,14.7447141337782,17.87393612244,21.010860014548,19.3427462098789,20.0965885005405,20.5444712506099,16.7607956446299,19.2931145394199,20.3564432104391,15.8059031735161,24.2607751642416,21.0159187960627,18.3960477438287,15.6723000244849,17.4817351272033,17.6356308024641,17.7862902076912,19.0465633654801
"Pfdn2",32.4332131183587,34.9542757311351,31.8676079665528,27.6233558255891,26.0904085894936,39.6065755726092,22.608662063108,24.4453202222446,28.3337259706838,40.9247884169513,31.9316756242182,24.5869604921362,22.3945616900691,28.3714903746846,34.4925895196788,30.9714500483869,33.0904272050634,31.0486457789861,23.4258456393982,26.5497549943055
"Nectin4",8.46083820478921,12.7106457204128,9.98835473578522,6.70272604591501,10.3899857214798,11.0529978342165,10.0482942502702,9.1019809338145,8.97899766676601,8.76959751791813,9.57950268726546,6.43944203365472,8.39796063377593,4.20318375921253,9.19802387191435,7.08985001107652,8.74086756360164,8.94200998434801,8.24242716941787,7.50319162882548
"Arhgap30",40.8940513231479,40.779988352991,48.0392299197289,35.5447593343978,40.6363885995653,54.3439060182312,57.7776919390539,40.5688293050017,37.9113234819009,62.5564622944827,46.3009296551164,44.4906904143417,53.6536373824573,40.4556436824207,40.4713050364231,42.5391000664591,68.6782451425843,36.2648182698558,45.1164434536557,48.4821612939492
"Usf1",15.5115367087802,9.53298429030959,9.51271879598592,14.8272424652059,15.238645724837,17.5005799041762,15.5748560879189,16.1235090827571,16.1621958001788,21.6316738775314,16.7641297027146,15.8059031735161,9.79762073940525,19.439724886358,11.4975298398929,16.0454500250679,13.7356490285169,12.4194583115945,13.4481706448397,17.3150576049819
"F11r",23.5023283466367,21.1844095340213,24.7330688695634,26.6077912731778,24.4741885883746,21.1849125155817,27.1303944757296,24.9654334184626,19.3547283039178,23.9702332156429,24.3479026634664,26.3431719558602,25.6604352698709,23.1175106756689,29.8935775837216,25.7473500402252,21.2278212258897,30.0550891140586,21.6905978142576,19.0465633654801
"Cd244a",9.87097790558741,10.0625945286601,13.3178063143803,13.6085650023123,15.9313114396023,6.44758206995964,12.0579531003243,17.423792073302,16.1621958001788,9.93887718697388,18.7598594292282,13.4642878885508,20.9949015844398,13.6603472174407,11.4975298398929,8.58245001340841,10.6139106129449,10.9291233142031,8.24242716941787,7.50319162882548
"Ly9",28.202794015964,33.3654450160835,25.2087048093627,33.3105173190928,34.8641743098543,41.4487418783119,26.1255650507026,37.4481501276939,34.9183242596456,25.1395128846986,25.9444864446773,24.0015566708949,38.2573762205348,33.1000721037987,33.1128859388917,39.5539000617953,25.5982550076905,33.0357591088412,37.7416401968082,23.0867434733092
"Slamf7",203.060116914941,238.85421749609,241.147421478243,227.689572650628,222.807471582844,265.271948021196,200.965885005405,209.345561477733,209.509945557873,243.210171163596,241.882442853453,234.161528496535,287.396875022554,183.889289465548,230.87039918505,220.158500343955,224.140818238071,233.237427091744,227.317465093419,240.102132122415
"Cd48",90.2489408510849,86.3264688511368,104.639906755845,107.852955466087,107.132297217036,98.5558973550973,105.004674915324,101.422073262504,113.733970445703,82.4342166684304,103.378799833406,113.56834132082,96.5765472884232,94.571634582282,99.7985590102707,89.5560001399139,87.4086756360164,99.1072773265237,101.07818581444,98.1186597615639
"Cd84",268.866636285524,266.393949890318,274.441937264194,277.249122808303,293.690263060495,297.509858370995,302.453656933134,284.50191833123,289.123724869865,296.997035940161,293.771415742807,289.189487693221,242.607751642416,325.22134336907,259.84417438158,252.995700395257,267.845156056079,275.463585351165,296.293566142758,303.013508087183
