"","sgCtu1_input","sgCtu1_polysome","sgCtu2_input","sgCtu2_polysome","sgCtu1_TE","sgCtu2_TE"
"Cytip",0.261697733977944,0.48535094426666,0.336747962490818,0.472352180102495,0.223653210288716,0.135604217611678
"Dync1i2",-0.0876591609329163,-0.210109112184071,-0.161302229604983,-0.377390106583523,-0.122449951251155,-0.21608787697854
"Mertk",-0.317137600580121,-0.228492418933337,-0.457016893886466,-0.142588722029034,0.0886451816467844,0.314428171857433
"Fkbp1a",0.0580888630095604,0.162213921217992,0.0177572418819061,0.343410489270706,0.104125058208432,0.3256532473888
"Dynlrb1",0.187741488397284,0.222325815172217,0.195477815688673,0.331785986289479,0.0345843267749331,0.136308170600806
"Pfdn4",0.271115997277271,0.138883934646824,0.371039035346687,0.13285831449693,-0.132232062630448,-0.238180720849757
"Fabp4",-0.44447804396889,-0.583334221296434,-0.407552034661013,-0.411929838689689,-0.138856177327543,-0.00437780402867638
"Car2",0.555331744268345,0.4914489355708,0.473955849618817,0.235986486238601,-0.063882808697544,-0.237969363380216
"Gpr171",0.214220621631475,0.374905265462591,0.452008103838989,0.55095493184231,0.160684643831116,0.0989468280033208
"Veph1",0.0187726135619659,-0.365109870054271,-0.263455938309457,-0.663316419536503,-0.383882483616237,-0.399860481227046
"Ptx3",-0.0249058243051241,-0.218007496197178,-0.340762024638236,-0.527609179310138,-0.193101671892054,-0.186847154671902
"Tmem154",0.137611875710937,0.346264518099628,0.298270552149904,0.654883960015623,0.208652642388691,0.356613407865719
"Glmp",0.150516967667956,0.368690464863383,0.264798745516257,0.48521053673531,0.218173497195428,0.220411791219053
"Gba",0.152514291301229,0.24411905113497,0.374754594297545,0.152932765632537,0.0916047598337419,-0.221821828665008
"Fam102b",-0.0978732594151088,0.148666101449233,-0.464655583257279,-0.213229729052287,0.246539360864341,0.251425854204992
"Ube2d3",0.130014632888832,0.294997508855765,0.181062475493038,0.356167832894775,0.164982875966933,0.175105357401737
"Lamtor3",0.237843834259145,0.396293527043722,0.290218438727946,0.439788271245132,0.158449692784576,0.149569832517186
"Tmem67",-0.0916418750659922,0.0659532140408166,-0.559185661646079,-0.0754022882617464,0.157595089106809,0.483783373384332
"Nipsnap3b",0.230886093915409,0.517272897975016,0.317885638835663,0.398645771497606,0.286386804059608,0.0807601326619434
"Slc31a2",0.079273596781527,0.164506605715165,0.119907406519241,0.406530607266763,0.0852330089336384,0.286623200747522
"Ifnb1",-0.0859947236070386,-0.115132175645876,-0.294041317545807,-0.457632247825034,-0.029137452038837,-0.163590930279227
"Med8",0.136285625114152,0.278604331001314,0.247892094783766,0.52053524054191,0.142318705887162,0.272643145758144
"Psmb2",0.237917342641259,0.239137669423641,0.275339141017582,0.126618952859232,0.00122032678238249,-0.14872018815835
"Tnfrsf9",0.527191855202727,0.642284371043763,0.814348840603896,0.640578657467387,0.115092515841035,-0.173770183136509
"Rsbn1l",0.0248512186597969,-0.128862671955984,-0.409844044337649,-0.704299900731866,-0.153713890615781,-0.294455856394217
"Cxcl3",0.185478215422287,0.366557879846932,-0.0748156921184124,-0.0106635967379258,0.181079664424646,0.0641520953804875
"U90926",0.15072571547184,0.363969950699269,-0.608192712424279,-0.613717422813494,0.213244235227428,-0.00552471038921531
"Cxcl10",0.0353035342143961,0.223642895942113,-0.304142698550084,-0.141942644999911,0.188339361727717,0.162200053550173
"Serpine1",-0.537310488173705,-0.113633796880713,-0.960761434863771,-0.656783221948742,0.423676691292993,0.303978212915029
"Asns",0.96019430559606,0.459694745429896,1.07138162372342,0.401888033721558,-0.500499560166164,-0.669493590001865
"Cav2",0.0835930923564545,0.484320801490693,0.228089364293597,0.597222605015423,0.400727709134238,0.369133240721826
"1810058I24Rik",0.184776478608386,0.311971830777126,0.219545358766153,0.417023613450382,0.127195352168741,0.19747825468423
"Hk2",-0.242620451930383,-0.42367981764123,-0.494339665116258,-0.625688970748755,-0.181059365710847,-0.131349305632496
"Mthfd2",0.646586083743788,0.654434036713649,0.584351884002692,0.396439064528415,0.00784795296986118,-0.187912819474277
"Arhgap25",-0.00998946469768391,-0.13629965833831,0.364048691007098,0.160314217984912,-0.126310193640626,-0.203734473022187
"Clec4e",0.27677456717201,0.430147129253804,0.143266419039488,0.0354175211156971,0.153372562081794,-0.107848897923791
"BC035044",0.874694985468006,0.47766722204535,0.56071656073253,0.3896015910389,-0.397027763422656,-0.17111496969363
"Cd69",0.430792581285365,0.577773378140607,-0.0721101216689828,-0.0816845935691486,0.146980796855242,-0.0095744719001658
"Arhgdib",0.179226121222911,0.383383005858708,0.259003837333994,0.319223304812146,0.204156884635797,0.0602194674781522
"Rpl28",0.184505586283917,0.243136517101759,0.220747746147893,0.405863786249158,0.0586309308178414,0.185116040101265
"2410002F23Rik",0.300652807820782,0.303199540702348,0.736157998185117,0.834718469260978,0.00254673288156582,0.098560471075861
"Napsa",0.236159060596457,0.222934855355687,0.391823761693929,0.168629390641107,-0.0132242052407703,-0.223194371052822
"Rps11",0.267630369610661,0.385957862208294,0.336956379485299,0.460656184596978,0.118327492597633,0.123699805111679
"Rhog",-0.0298497659501615,0.259067853783194,0.0320238030356075,0.588445050919082,0.288917619733356,0.556421247883474
"Trim30c",-0.245938154557319,-0.108258540487983,-0.689959090955177,-0.773716273116365,0.137679614069336,-0.0837571821611887
"Nsmce1",0.132726421741075,0.122278907211903,0.420602450449411,0.0473415331532836,-0.0104475145291723,-0.373260917296127
"Ifitm1",0.499397435746585,0.646890939600282,0.63221827207146,0.740264516044249,0.147493503853697,0.108046243972789
