"","LSG2h_Input","LSG2h_Pool1","LSG2h_Pool2","LSG2h_Pool3","LSG6h_Input","LSG6h_Pool1","LSG6h_Pool2","LSG6h_Pool3"
"X1700017B05Rik",-0.914717279999601,-0.9948664858785,-0.469291724061148,-1.18051848342495,-0.161569873581739,-0.116846685230051,0.202626420742678,0.0217074856244648
"Fam219b",-1.44028790648903,-1.48377011416174,-1.39044843491767,-1.20380882309372,-1.40577851620914,-1.25794657484843,-1.23118257892913,-1.03607424336122
"Ube2q2",1.0890721829417,1.14555147606738,1.25399970648531,1.04440003831932,0.438391695195311,0.466962338928388,0.639611935077689,0.305677290501198
"Tspan3",0.0720516742033972,0.175213501526409,-0.053678084817812,0.0100714578871495,0.870788891066407,1.0154527133501,0.900143211243078,0.839461405098807
"Hmg20a",-0.986285826420322,-1.63243235110593,-0.821512581245452,-1.00301848201968,-1.00983898222638,-1.22463115407203,-1.26750901468635,-0.624705747246777
"Stoml1",-0.596770779337803,-0.533026127587916,-1.15953799895221,-0.908198696416898,-0.263266170989255,-0.0478188735195069,-0.321564806698539,-0.0820647758063071
"Mb21d1",1.3936876124589,1.70094322677743,1.59542925444435,1.50995228372977,1.07065460390364,1.21175062754582,1.1704087740763,1.0477204859588
"Elovl5",0.0388454555265589,0.149909761448578,0.226804075659903,0.224928556146389,-0.989053371141278,-0.932062678053723,-1.08493238081441,-0.752571805369592
"Gclc",-0.969021567233092,-0.634906896390082,-1.12237401135974,-0.715491660941591,-0.510534585187001,-0.41350471907894,-0.475840099492085,-0.52427568935002
"Plscr1",2.43614899673019,2.27574836824687,2.57255913609877,2.52195396295262,0.958629065296962,0.835106151684837,1.16489657171326,0.868079363130464
"Aph1b",-0.404687130248991,-0.176107794371905,-0.372143375063763,-0.391539924025073,-1.89458641886872,-1.45055948758558,-1.77103964140165,-2.04790294301193
"Tipin",-1.10184302276393,-0.580235601742122,-0.482573722716678,-0.823229275835949,-0.721941540161767,-0.771942245674323,-0.693355263598281,-1.37054064869047
