"","sgCtu1-g1-R1-input","sgCtu1-g1-R2-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgCtu2-g2-R1-input","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome"
"Tubgcp4",10.4955214522228,10.5095419736557,10.1211967890041,13.1033491649614,10.1359687913136,13.5369789213274,11.1165042539286,9.0169002980857,13.5390441077309,10.3761388131844,10.1113788590938,0,9.05901808633853,8.46857621792771,12.5375258820082,11.0159188523181,13.8468382443048,10.7025520588978,12.438599613116,12.8747112718709,13.2237398785905,9.62106238288042,14.1320031944587
"Trp53bp1",32.5361165018906,14.4506202137766,62.215592026525,70.7580854907916,34.3741550314115,33.1821068681318,61.6786687637326,53.5378455198838,36.3003356511624,36.3856601048999,48.2234991741397,0,40.0945430117576,48.3206995964111,62.687629410041,33.9974047338784,35.0913023999504,24.6158697354649,52.7003825713597,42.670471643915,36.5856803307671,52.228624364208,58.0314173729901
"Pdia3",141.269718746919,105.095419736557,140.803708270557,125.005951033732,132.355186680777,131.077576384561,119.771368413295,118.06503827806,139.707237749339,124.375317240704,143.114900774866,0,130.013685498377,142.471341078078,110.079477244032,163.149556795539,154.970778706808,136.992666353892,168.575757914598,153.576913028746,122.319593876962,155.311435609355,141.620712863618
"Serf2",1296.19689934951,672.610686313966,1165.42604202797,1123.74322438709,1340.8858424219,1358.65044539664,1180.50103238493,1117.25030255968,1384.71064156894,1308.08523304878,1192.75380618618,968.919797674037,1287.7226450136,1017.72360077802,1517.04063172299,1224.66628896116,1203.15746552911,1125.90847659605,1090.34145556024,1298.69051843829,1270.14021533862,1051.4446747005,1091.47173608266
"Hypk",114.401183829228,112.320729843445,172.060345413069,172.178008027593,112.670841491849,118.035852789623,160.651416314838,157.232198947869,109.489661045128,110.540465489791,155.948573942178,46.139037984478,110.218053383785,137.489825655768,214.64244309998,126.113277895504,110.395340523087,123.079348677325,166.939100070767,123.781152656702,114.164954285165,144.315935743206,163.269739033853
"Mfap1b",24.9793410562902,21.0190839473114,24.4099451970098,18.8688227975444,26.1478615196207,23.442085449128,17.5712486594355,18.0338005961714,25.3121259405403,27.2546579492977,18.2782617837465,46.139037984478,23.6541027809951,25.4057286537831,20.0600414112131,29.6290231200281,22.7619258810489,13.9133176765671,24.5498676574657,24.0941025230727,26.447479757181,20.6165622490295,25.8585590366691
"Mfap1a",8.81623801986713,7.88215648024179,11.6096080815047,14.4136840814575,8.96078400391496,10.5654469629873,10.3993104310945,11.5529035069223,12.3617359244499,12.5897150933304,11.6669756066467,0,12.2464503759762,11.457485471314,10.7822722585271,12.5353559353965,10.0531839307966,6.42153123533868,10.1472786317525,15.4496535262451,12.7829485493042,5.49774993307452,15.6354077896139
"Ctdspl2",12.8045361717118,9.19584922694875,14.5864306665059,10.4826793319691,10.2828668897385,10.5654469629873,14.343876456682,14.0889067157589,12.3617359244499,11.8979725057848,15.5559674755289,0,10.4010948398702,12.4537885557761,11.7852743290877,16.3339486430924,13.0881073816031,18.1943385001263,12.438599613116,10.2997690174967,12.7829485493042,9.62106238288042,15.6354077896139
"Eif3j1",15.5333717492897,17.0780057071905,28.2798145575114,32.7583729124035,15.5711984330326,13.2068087037341,25.8189776220276,23.9511414167901,13.1466080466372,14.9416398909855,21.7783544657405,0,12.7497291585505,22.4168194003969,27.582556940418,15.3843004661684,16.3127135480851,29.9671457649138,28.150514913894,17.1049735469142,16.0888835189518,20.6165622490295,29.1660491460105
"Spg11",9.65587973604495,11.8232347203627,3.57218710200144,5.76547363258302,9.40147829918947,8.74951076622382,7.53053513975805,7.32623149219463,7.84872122187296,8.43925956805664,4.66679024265868,0,8.55573930376417,4.98151542231042,5.01501035280328,9.87634104000936,10.242866646472,4.28102082355912,7.52862608162281,10.8515423577198,8.59543092108384,2.74887496653726,7.81770389480695
