"","gene","my_genes","sgAI987944_p1...sgCtrNT_p1","sgAtf3_p2...sgCtrNT_p2","sgBach1_p1...sgCtrNT_p1","sgBhlhe40_p1...sgCtrNT_p1","sgCebpb_p1...sgCtrNT_p1","sgE2f5_p3...sgCtrNT_p3","sgEgr1_p1...sgCtrNT_p1","sgEgr2_p3...sgCtrNT_p3","sgEtv3_p3...sgCtrNT_p3","sgEtv6_p1...sgCtrNT_p1","sgFli1_p3...sgCtrNT_p3","sgFosl2_p3...sgCtrNT_p3","sgIrf1_p8...sgCtrNT_p8","sgIrf2_p4...sgCtrNT_p4","sgIrf3_p5...sgCtrNT_p5","sgIrf4_p8...sgCtrNT_p8","sgIrf7_p4...sgCtrNT_p4","sgIrf9_p4...sgCtrNT_p4","sgJun_p8...sgCtrNT_p8","sgJunb_p4...sgCtrNT_p4","sgKlf3_p5...sgCtrNT_p5","sgKlf6_p4...sgCtrNT_p4","sgMafb_p5...sgCtrNT_p5","sgMax_p5...sgCtrNT_p5","sgNfe2l2_p4...sgCtrNT_p4","sgNfkb1_p8...sgCtrNT_p8","sgNfkb2_p6...sgCtrNT_p6","sgPparg_p7...sgCtrNT_p7","sgRbpj_p6...sgCtrNT_p6","sgRela_p8...sgCtrNT_p8","sgRest_p7...sgCtrNT_p7","sgStat1_p8...sgCtrNT_p8","sgStat2_p7...sgCtrNT_p7","sgStat3_p8...sgCtrNT_p8","sgStat5a_p8...sgCtrNT_p8","sgTgif1_p8...sgCtrNT_p8"
"38","Slc36a2","FALSE","-0.988721300","-0.542037100","-0.280146506","-0.0781972326","-2.713873864","-0.127070560","-1.208154658","-0.401572988","-0.452929075","-0.528983752"," 0.713310244"," 0.025585179"," 0.434873060","-1.1944071742"," 0.50890567","-0.681780584","-1.6695980844"," 0.005498711"," 1.409577368"," 0.31991846","-1.16716046"," 1.3284889829","-0.713976079"," 1.629659718","-0.57732432"," 1.030480666","-0.0002033825","-1.306325625","-0.814796274","-0.25158051","-0.299165435","-1.564061347","-0.247858098"," 1.083326755","-2.441533845","-8.302024e-01"
"39","Slc36a4","FALSE","-0.607363516","-0.219067992"," 0.095319989","-0.3382374083","-0.319978680"," 0.191372044","-0.037369344","-0.240997230"," 0.109095323","-0.161626344"," 0.206358581","-0.047333669","-0.046145916","-0.0539072913"," 0.26693465","-0.072339920","-0.2500982308"," 0.307649974"," 0.121971197"," 0.05930061","-0.16171345"," 0.0137428641","-0.377751229","-0.530209756","-0.27333156","-0.103451909","-0.2858980670"," 0.247297767","-0.067323436","-0.04882608"," 0.086198503","-0.302633100"," 0.501496185","-0.512087016","-0.269043060"," 3.986493e-01"
"40","Slc16a1","FALSE","-0.551085826"," 0.147466097","-0.397584858"," 0.1160593157","-0.975220652","-0.253017447","-0.889649156"," 0.784334257"," 0.141880492","-0.601631747","-0.035919145"," 0.049407591","-0.026785507","-0.1950445843","-1.57467957","-0.282718176"," 0.3420333314"," 0.064855627","-0.118013698","-0.54041573","-0.66510442"," 0.0560534395","-1.077051286"," 0.514155608"," 0.24585228"," 0.309072475","-0.7101006040"," 1.070028888","-0.568543121"," 0.54418110"," 0.487924339"," 0.103504240"," 0.111063309","-0.410439095","-0.748089215","-3.929861e-05"
"41","Got1","TRUE"," 0.106421184","-0.135608720","-0.203577990"," 0.0681852273"," 0.773588776"," 0.219194691"," 0.209403882","-0.248083514"," 0.297915194"," 0.281843832"," 0.235393019"," 0.291879317","-0.053955508","-0.0403997812"," 0.21730676","-0.347532607","-0.0352293837","-0.249328049"," 0.047273357"," 0.02492661"," 0.45523893","-0.0721518882"," 0.452663143"," 0.111872152"," 0.38287642","-0.349038880"," 0.5151122097","-0.115154749"," 0.218208846","-0.34346612","-0.248695061"," 0.120715646","-0.046407424","-0.190611078","-0.639731939"," 1.760182e-01"
"42","Slc25a12","TRUE","-0.571506306","-0.225829024","-0.022997233","-0.2067274273"," 0.168564552"," 0.097062905","-0.037878085","-0.157478305","-0.157272405"," 0.228803269","-0.109062720","-0.193286118","-0.278600138","-0.2504657565","-0.18255826","-0.498772590"," 0.0174205293","-0.593843997"," 0.137939599","-0.01679312"," 0.34025422"," 0.0492743149"," 0.261049552"," 0.115653629","-0.08815179","-0.322101957","-0.2458505391"," 0.336345838","-0.242319697","-0.36831899"," 0.092018333","-0.435560293","-0.293161416","-0.240425352","-0.325363169"," 3.852229e-01"
"43","Slc30a1","FALSE"," 0.135453114","-0.239734811","-0.153884344"," 0.2129834441","-0.361291176"," 0.198645836"," 0.017308353"," 0.157632311","-0.288263783","-0.282181993"," 0.244804462","-0.042946897"," 0.292017626","-0.2181046839","-0.60397835","-0.154564839","-0.1030873150","-0.324921629"," 0.121716631"," 0.14985971","-0.29252724","-0.2378735643","-0.733754008","-0.431094011"," 0.08633777"," 0.188844285","-0.0855582468"," 0.052674422"," 0.339190980"," 0.21652156"," 0.049110489","-0.376826328","-0.311085324","-0.192736550","-0.031622070","-2.396469e-01"
"44","Slc31a1","FALSE"," 0.014677209"," 0.014481712"," 0.311344379"," 0.0534428379","-0.315628008"," 0.261606876"," 0.179048072"," 0.151739323"," 0.339194991"," 0.128048512"," 0.041584077"," 0.043402687","-0.119312721"," 0.1428476848"," 0.47990247"," 0.116584327","-0.1340889510"," 0.302354480"," 0.177202391"," 0.08756947","-0.16051223"," 0.3218205642","-0.211681639","-0.312966444"," 0.03168585"," 0.077983623","-0.2930031896","-0.023345832","-0.058216025"," 0.41983855","-0.158690109"," 0.125121380"," 0.135554978"," 0.027295092"," 0.131560083"," 6.710997e-02"
"45","Slc35e3","FALSE","-0.360575081","-0.082152741","-0.519762657"," 0.5787315924"," 0.361759994","-0.430751101","-0.343013237"," 0.362768528"," 0.580641385","-0.014259677"," 0.019147173","-0.059296212"," 0.106068198"," 0.2803958425","-1.14109540","-0.143621999","-0.1298607962"," 0.643102576"," 0.026482637","-0.16818878","-0.96147171"," 0.3488448064","-1.156092467"," 0.318575197","-0.31534444"," 0.810978164","-0.6159224134"," 1.004486595"," 0.208699838"," 0.09018158"," 1.519524425"," 0.020794422"," 1.087809043","-0.040939519","-0.528097097","-8.919345e-01"
"46","Slc12a7","FALSE"," 0.155152290"," 0.345750131"," 0.742965801"," 0.6917510844","-0.101666874","-0.650672557"," 0.520551934"," 0.643768558","-0.301698452"," 0.215486159","-0.323585480","-0.063053020","-0.494791959","-0.2391800639","-1.10658588"," 0.791285420","-0.0779900324"," 0.190953588"," 0.206744302"," 0.34005095"," 0.26863503","-0.6206283887","-0.113601828","-0.605774210"," 0.15027550"," 0.691380425"," 0.1106696893"," 0.098679403"," 0.094623776","-0.46868481","-0.075452311"," 0.158905118","-0.025894922","-0.083087702"," 0.408742895"," 2.052606e-01"
"47","Slc11a2","FALSE","-0.093894677","-0.123522735"," 0.060566138","-0.1261117749","-0.278299222"," 0.030421898"," 0.081561568","-0.079084661","-0.142363637","-0.144594794"," 0.008335302","-0.027774096"," 0.093853781","-0.1102382302"," 0.18375072"," 0.086278438"," 0.0622634263"," 0.414635718","-0.168631310"," 0.18275490","-0.02422266"," 0.3447830951","-0.084292940","-0.183000670","-0.04670239","-0.450516433","-0.2307519125"," 0.148079720","-0.036667864","-0.33852738"," 0.011766308","-0.006978536"," 0.236692277","-0.171009781","-0.003874895","-3.095076e-02"
