	sgAI987944_p1...sgCtrNT_p1	sgAtf3_p2...sgCtrNT_p2	sgBach1_p1...sgCtrNT_p1	sgBhlhe40_p1...sgCtrNT_p1	sgCebpb_p1...sgCtrNT_p1	sgE2f5_p3...sgCtrNT_p3	sgEgr1_p1...sgCtrNT_p1	sgEgr2_p3...sgCtrNT_p3	sgEtv3_p3...sgCtrNT_p3	sgEtv6_p1...sgCtrNT_p1	sgFli1_p3...sgCtrNT_p3	sgFosl2_p3...sgCtrNT_p3	sgIrf1_p8...sgCtrNT_p8	sgIrf2_p4...sgCtrNT_p4	sgIrf3_p5...sgCtrNT_p5	sgIrf4_p8...sgCtrNT_p8	sgIrf7_p4...sgCtrNT_p4	sgIrf9_p4...sgCtrNT_p4	sgJun_p8...sgCtrNT_p8	sgJunb_p4...sgCtrNT_p4	sgKlf3_p5...sgCtrNT_p5	sgKlf6_p4...sgCtrNT_p4	sgMafb_p5...sgCtrNT_p5	sgMax_p5...sgCtrNT_p5	sgNfe2l2_p4...sgCtrNT_p4	sgNfkb1_p8...sgCtrNT_p8	sgNfkb2_p6...sgCtrNT_p6	sgPparg_p7...sgCtrNT_p7	sgRbpj_p6...sgCtrNT_p6	sgRela_p8...sgCtrNT_p8	sgRest_p7...sgCtrNT_p7	sgStat1_p8...sgCtrNT_p8	sgStat2_p7...sgCtrNT_p7	sgStat3_p8...sgCtrNT_p8	sgStat5a_p8...sgCtrNT_p8	sgTgif1_p8...sgCtrNT_p8
Usp18	0.0290988811343134	-0.141755843305962	-0.11938463093465	-0.0995172455461528	0.0141102493687484	0.0581400025286865	-0.0572234630610193	-0.0300150725870854	-0.00403865769403566	0.148621771038117	0.0473346781230859	-0.0247091825590839	0.0782592982051842	-0.245625713267946	-0.541062631729817	-0.0924722687223447	0.0194982037487001	-2.39044582761026	0.0959344408465341	0.0270217614776023	0.00595786719490121	0.141941388449473	-0.0107997535433118	-0.187165985614106	0.14105244726648	-0.233388534045227	-0.0339443014823075	-0.207788965464518	-0.200435498536208	0.091363251480626	-0.19892477136127	-0.16406137885563	-1.87292276020376	-0.117727492785784	0.00275882888657719	0.0136004420793192
Chil3	0.377546388341502	0.0261680690914741	0.759450252174583	-0.887020656061032	-1.88562831821491	0.284350864816359	-0.0453652252001984	-0.630129351573766	-0.346103199909323	-0.858040447571478	2.02652758673362	0.292595950442914	0.121141443237216	-0.38321935988631	0.195254929950766	2.3019102194557	0.36749192282897	-0.0335668075587634	1.70506298403469	1.01885981498151	0.2898415697197	-0.636456262726931	0.79691073912973	0.208621744580814	-0.0939077161690012	0.916658782887364	-0.970543222630678	-0.781210006908832	-1.35018544212765	0.371551356808988	-0.561215798449497	0.131489672621971	-0.145432425119354	0.216738794171537	-0.262649874235242	0.289281155181561
Lyz2	0.19162588797194	-0.0177005956991856	0.0459952852273453	-0.56035890711626	-1.28546384242055	0.183106876736225	-0.0286679471651485	-0.0616745317790315	-0.0965803824078115	-0.116311151060485	0.186784263160149	-0.260727654149109	0.290928914165661	-0.247810814397241	0.283215535217423	0.39305593137092	-0.0746384693737507	0.204673842744354	0.67295753089833	0.186844930924991	0.0496948831115116	0.0375199249119831	0.246313196345914	-0.10324503864253	-0.0514940437520526	0.10432601511895	-0.175422723871161	-0.465644071279396	-0.503345724622726	0.134039840077849	-0.3400682988509	-0.0771523664813056	-0.0426633536587708	0.19719429943058	0.343854929145557	0.388132856816926
Ccl22	-0.269262495762172	-0.747099200030156	-1.02412119248194	-1.29654859468645	2.40333417589745	0.196237587434905	-0.470471910148008	-0.847061304871981	0.796154212593932	0.655579757320956	0.0253583133285007	-0.176524877512833	0.198673566677122	-0.0930224710719889	0.432697016713115	-2.02585788180017	0.08392243485895	0.00368802889698383	-0.0163515822067488	-0.591788036735126	0.158628931785729	-0.129224423418126	0.777271729294649	1.13501601987024	1.23836941768411	-0.468353249877023	1.26510668592679	0.0368681984820958	0.0160493240635704	-0.103869648936324	-0.116654515114172	-0.156630319027804	0.239109532406135	-0.117163403045241	-1.02888185271512	0.0589027067528782
Mmp13	-0.0436133584547225	-0.227409181115677	-0.128313876826883	0.215001439819607	-0.209336620210143	0.0693761798575743	0.0280545143066142	0.0972938231963258	0.240187854768662	0.0794065821657899	-0.296027284333864	0.112625998842915	-0.165676323996653	-0.732467831844433	0.526175641414117	-1.46796613434965	-0.157605525816322	-0.698961757109144	-1.09952578999588	0.00218039069582154	-0.0851324644843796	0.917085033374788	-0.763211668633867	0.0418410688526745	-0.00372959910958315	0.215466518583037	-0.481131153494044	0.10939990178983	0.671329798138181	0.13500236289017	-0.300552136383162	0.0443456378798306	-0.731503542841466	0.0241643813526782	-0.199922825985462	-0.366788492127153
Ifit3	-0.157794352321385	-0.231187799690563	-0.27350001558038	-0.0911471911617312	-0.138465062553074	0.107447196236448	0.00893689423610589	0.16575668653741	-0.112559693167032	-0.0124973876263326	0.0949845252765851	-0.119913659620448	-0.104366577220771	0.0548290129389013	-0.768006557028119	-0.145791350988548	-0.179529067320455	-2.22478312752189	-0.0588853992177274	0.130315449672363	0.166013050633167	0.500057210237086	-0.117273891699647	-0.155647005436988	0.175457990461313	-0.306401870363292	-0.118876838001182	-0.150408120558145	0.0984511158501267	0.0575381781222273	-0.393090160738385	-0.326054322415368	-1.86828653971467	-0.265104318083717	-0.0678708033374722	-0.262776984514502
Oasl1	0.014608819502465	-0.0117230151911123	-0.203463479216934	0.0469774657496309	0.0674459511323953	0.118789609664796	-0.153276685546077	0.155758903592345	0.182326152515186	-0.0663293144138173	-0.00101461377473022	0.0662231150995289	0.00811222478113294	-0.390029595623863	-1.38736052243702	-0.110095325883467	0.0586392781080534	-0.995292370845704	-0.0423994366377212	0.0543189679126765	0.0750808017678022	0.33608759350402	0.223829608310583	-0.114361069024836	0.0266913048722195	0.0705904391855423	-0.07972400271826	0.139107903198884	0.0129972996000962	0.387253722057109	-0.0684194665954081	-0.00105520671363912	-0.896650837069565	-0.103547416490118	-0.141065296837692	0.085183228116545
Samhd1	-0.351495853080623	-0.404960810902121	-0.18938255708761	-0.157615386452127	0.12582089752415	-0.023022353360286	-0.0208790411123161	-0.246652947610796	-0.213825381746185	0.0203888821967464	0.0970317514375054	-0.283098824443993	-0.367315062710459	0.0527478514872506	-0.71506873544301	-0.33406443961141	-0.218735671198342	-1.50029769663627	0.0190960210054296	-0.111605201986366	-0.192467281167925	-0.371251569735815	-0.239771996983812	-0.164348576738083	-0.0118403795477313	-0.293187535382938	-0.0172419720289039	0.0152486898354596	0.0312882236341938	-0.494729465817947	0.0862055661092054	-0.608860821578489	-1.05664659511439	-0.37778125626118	-0.512492893127583	-0.231189320359825
Ch25h	0.0027448039234379	2.25701291802146	0.670828112360847	-0.592322866282375	-1.07085835073952	-0.0983409415847616	0.139483493765524	0.275650646828542	0.144357054280975	0.511066309507965	-0.127845297799467	-0.077982099951269	0.280289048814732	0.792946258791734	0.218174098980635	0.891190705128354	-0.240698219538497	-1.61134421009586	-0.544156135706865	-0.186031385174678	0.108550602744328	0.22617307053526	0.282276222674847	0.518958494735866	0.164546422870001	0.648406587977304	-1.01876161210556	-0.132552906066407	-1.09059787715204	-0.793011175395228	-0.940557549715113	-0.601761069000267	-1.31295990242479	0.171486301540344	-0.191146707885558	-0.427810665049163
Mmp12	0.115154609671455	-0.384181345002412	-0.0728983254644984	-0.0776672538069061	-0.139955720545373	0.102638732316112	0.0377516635713278	-0.302382741401432	0.109767412450266	-0.0328822390208572	-0.222401328390267	-0.0266862727974218	0.125140176925756	-0.240674843420042	0.172818396643526	-0.691193328023825	0.00151508327386018	-0.0713540296228459	-0.688998753148786	-0.130308511926243	0.0503321769957026	0.142711193458666	-0.0456845067284064	-0.279078736346701	-0.201547694387036	-0.170008513019448	-0.0553397387019476	0.00734439775241214	-0.0354451393910136	0.315034803970779	-0.207154747590087	-0.0225876155436566	-0.183644321265723	0.0646954357874119	-0.123266678994268	0.0925606230222815
