"","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome"
"Asah2",5.8928657384704,4.85747148095911,3.90673489312488,2.85713765459534,4.55542494474489,4.82182979419908,4.53961477678734,4.05996022388457,4.54773584063584,10.413280778746,3.3850937034801
"Sgms1",46.9643542187187,51.9538254050409,49.4853086462485,47.4284850662826,45.5542494474489,49.3433915606372,37.7137227610025,49.2608507164661,50.0250942469942,35.9731517811226,40.8629168491527
"Gm50210",0,0,0,0,0,0,0,0,0,0,0
"2700046G09Rik",0.178571689044558,0.422388824431227,0,0.285713765459534,0.427071088569833,0.160727659806636,0.349201136675949,0.541328029851275,0.162419137165566,0.473330944488456,0.725377222174308
"Rpl9-ps6",255.536087022762,260.191515849636,295.609606913116,335.713674414952,290.835411316056,303.614549374735,351.645544632681,335.894042522716,279.523335061938,326.598351697035,383.724550530209
"Minpp1",55.5357952928574,54.4881583516283,49.4853086462485,47.4284850662826,61.7829508131025,59.4692341284553,61.808601191643,54.4034670000532,39.3054311940669,38.8131374480534,49.8092359226358
"Gm36419",0,0,0,0,0,0,0,0,0,0,0
"Papss2",38.3929131445799,36.3254389010855,27.3471442518742,31.9999417314678,38.5787550008083,34.0742638790068,28.9836943441038,32.7503458060022,40.1175268798947,32.6598351697035,26.8389572204494
"Atad1",47.8572126639415,44.5620209774944,24.7426543231243,36.5713619788203,49.2555322150541,50.789940498897,44.6977454945215,40.8702662537713,47.7512263266763,48.2797563378225,35.7852762939325
"Pten",38.9286282117136,42.8724656797695,35.160614038124,31.7142279660082,39.8599682665177,40.0211872918524,38.4121250343544,33.0210098209278,42.8786522117093,34.5531589476573,33.1255598126267
"Gm36860",0.892858445222788,1.26716647329368,0,0.571427530919067,1.70828435427933,0.160727659806636,0.349201136675949,0.811992044776913,0.487257411496697,0,0
"Gm29863",0,0,0,0,0,0.160727659806636,0,0,0,0,0.241792407391436
"Gm29946",1.07143013426735,0.211194412215613,0,0.285713765459534,0.996499206662944,1.60727659806636,0.349201136675949,0,1.13693396015896,1.41999283346537,0.483584814782872
"Lipo4",0,0,0,0,0,0,0,0,0,0,0.241792407391436
"Lipo3",8.21429769604965,12.4604703207212,9.11571475062473,9.71426802562414,10.9614912732924,9.64365958839816,8.38082728022278,9.47324052239732,11.0445013272585,6.62663322283838,7.25377222174308
"Gm8978",0,0,0,0,0,0,0,0,0,0,0
"Lipo2",0,0,0,0,0,0,0,0,0,0,0
"Lipo1",0,0,0,0,0,0,0,0,0.162419137165566,0,0
"Lipf",0.357143378089115,0,0,0,0.142357029523278,0,0,0,0.162419137165566,0,0.241792407391436
"Lipk",0.535715067133673,0.844777648862454,0,0,0.427071088569833,0.321455319613272,0,0.270664014925638,0.324838274331131,0,0
"Lipn",4.46429222611394,4.85747148095911,3.90673489312488,4.57142024735254,4.69778197426816,4.33964681477917,4.88881591346329,3.51863219403329,3.89805929197357,2.83998566693074,5.80301777739446
"Lipm",0.178571689044558,0,0,0.285713765459534,0.427071088569833,0.160727659806636,0.349201136675949,0.270664014925638,0.162419137165566,0,0.241792407391436
"Ankrd22",0.714286756178231,0.422388824431227,0,0.285713765459534,0.854142177139666,0.160727659806636,0.698402273351898,0.541328029851275,0.812095685827828,0,0.483584814782872
"Stambpl1",31.4286172718422,29.7784121224015,20.8359194299994,24.8570975949794,31.3185464951211,33.2706255799736,34.570912530919,30.0437056567458,29.2354446898018,21.2998925019805,29.2568812943637
"Acta2",5.53572236038129,5.70224912982156,5.20897985749984,3.99999271643347,5.83663821045438,5.30401277361899,3.14281023008354,4.87195226866148,6.49676548662262,1.89332377795382,4.83584814782872
"Fas",43.3929204378275,42.0276880309071,42.9740838243737,35.9999344479012,47.689604890298,44.3608341066315,45.0469466311975,41.1409302686969,44.9901009948617,38.8131374480534,41.1047092565441
"Ch25h",166.607385878572,162.830891818238,144.549191045621,151.142581928093,186.77242273454,188.372817293377,171.457758107891,162.398408955383,162.906394577062,123.539376511487,122.830542954849
"Gm26902",0.357143378089115,1.26716647329368,0,0.571427530919067,0.996499206662944,0.642910639226544,1.04760341002785,0.811992044776913,0.812095685827828,0.473330944488456,0.725377222174308
"Lipa",349.821938838289,364.521555484149,266.960217696867,325.142265092949,337.528516999691,337.528085593936,302.408184361372,295.294440283871,355.697910392589,309.55843769545,289.66730405494
"Ifit2",353.036229241091,325.028200399829,239.613073444993,215.999606687407,380.093268827151,388.157298433026,254.916829773443,221.673828224097,279.360915924773,183.652406461521,143.624689990513
"Ifit3",711.965324220651,593.245103913658,479.226146889986,456.570597204335,761.183036860966,799.780835197821,524.1509061506,551.883926433375,535.171056960539,449.664397264033,358.5781401615
"Ifit1bl1",25.1786081552826,15.839580916171,10.4179597149997,7.99998543286694,32.4574027313073,26.6807915279016,13.2696431936861,15.1571848358357,14.7801414820665,5.67997133386147,7.49556462913451
"Ifit3b",197.85743146137,164.309252703747,102.877352185622,111.999796060137,203.285838159241,209.428140728047,128.855219433425,126.400094970273,124.575478205989,82.8329152854798,84.1437577722197
"Ifit1bl2",11.6071597878963,13.3052479695836,9.11571475062473,7.14284413648834,12.5274185980484,10.4472978874313,9.07922955357468,4.60128825373584,9.9075673670995,3.78664755590765,6.52839499956877
"Ifit1",1701.2524815275,1483.21835699025,1695.5229436162,1359.140382291,1710.5620667517,1696.96263223846,1517.278938857,1459.69103249396,1304.71292885099,1177.64738988728,1008.75792363707
