"","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome"
"Parp9",44.4153932112626,39.3782766526258,29.3328954807797,30.3143696716714,35.5697910392589,27.4531947803304,30.2240509239295,38.750056522669,35.6918556644387,40.3695938956238,23.7142425331413
"Gm15564",11.2462053323389,19.1265915169897,37.0153204876506,15.698512865687,10.7196630529273,37.393144614588,14.2657520360947,13.3928766783418,13.5164423817993,46.8808187174986,23.7142425331413
"Kpna1",64.7724484330913,58.8263234892288,65.6498136950784,86.0711567463528,64.317978317564,80.9395915075259,68.4272512917764,63.5715212998625,69.905350443368,93.7616374349972,91.4284049470508
"Fam162a",120.434046976693,120.224289535364,173.552964927947,176.472937731516,112.394042918571,154.305887903237,206.490715912286,108.92873031718,94.1927078481636,165.38511047562,131.142618345926
"Ccdc58",32.0303316427375,27.6451574867414,37.3645216243266,32.2090177761509,29.5602829641329,30.7665113917496,37.2360307382811,33.2143341622877,29.1448288857546,26.0448992874992,34.8570793860631
"Stfa2l1",28.3290488751323,25.2342425896418,49.2373602713088,43.5769064030277,20.4648112828613,28.3998566693074,45.6987649969814,19.1071707277677,20.0634691604833,39.0673489312488,39.1427858679561
"Cstdc4",84.1330044482571,81.6496511817711,156.442109230825,139.933295716555,81.2095685827828,123.066045566999,176.992042210531,60.8929459641942,62.0911571913903,101.575107221247,124.285487974897
"Csta2",122.142331330972,115.723915060778,193.457429718476,185.946178253913,131.397081966943,195.012349129244,285.556833129286,100.000145864952,90.1800140160669,161.478375582495,168.856835386584
"Stfa1",26.0513364027598,21.2160510944759,48.8881591346329,38.4342901194406,20.6272304200268,37.8664755590765,49.8092359226358,16.4285953920993,21.9642188704238,27.3471442518742,37.7142170406584
"Cstdc5",118.868119651937,108.651898029286,207.425475185514,181.344890000177,85.5948852862531,145.312599957956,190.29062461706,84.2858372290312,78.5643213442082,111.993066936247,162.285418781015
"Stfa2",32.4574027313073,26.8415191877082,51.3325670913645,42.4942503433251,25.3373853978282,31.7131732807265,54.4032916630731,22.5000328196143,23.8649685803643,29.9516341806241,40.2856409297942
"Stfa3",19.3605560151658,16.2334936404702,27.237688660724,24.9010893731587,11.0445013272585,12.7799355011883,28.5315040721894,11.4285880988517,15.6283865039554,18.2314295012495,19.9999635821674
"Gm49662",26.0513364027598,26.3593362082883,21.6504704739089,16.7811689253895,26.3119002208216,17.9865758905613,19.3433925913149,23.5714629538816,24.4985518170112,14.3246946081246,21.428532409465
"Cd86",75.5915826768604,78.2743703258317,58.6657909615595,61.7113954030454,61.5568529857494,48.753087282311,49.3256511078529,65.5358098793527,57.6560745348625,52.0897985749984,39.7142133988752
"Iqcb1",41.9953237093669,48.3790256017974,35.6185159409468,37.0809700448124,35.7322101764244,32.6598351697035,30.9494281461038,40.1786300350255,39.4933550843197,44.2763287887487,33.9999380896845
"Golgb1",36.5857565874824,45.0037447458581,46.4437511779012,53.8621389702019,42.7162330745437,60.5863608945224,34.5763142569753,43.9286355049612,43.9284377408476,49.4853086462485,53.7141879063923
"Hcls1",157.873945741315,166.674583219482,148.410483087278,128.565407089678,139.842877099552,168.50581623789,105.179697215275,163.571667164815,146.35772766542,149.758170903121,142.285455198848
"Ndufb4",216.809755963952,223.732902450837,321.614246878549,318.030217537624,208.546172120586,282.10524291512,356.643800902368,225.536043263276,214.573522811063,304.725321663741,309.999435523594
"Fstl1",67.9043030826034,65.8983405207208,64.6022102850506,61.982059417971,71.3020012156833,90.8795413417835,68.1854588843849,65.3572381903081,70.1165448555836,61.2055133256232,79.7141405632099
"Lrrc58",85.8412888025364,78.1136426660251,92.5383012191265,107.724277940404,87.5439149322398,98.9261673980873,107.83941369658,80.8929751371846,81.3098487030112,93.7616374349972,96.5712527253224
"Gsk3b",50.8214595398101,42.5928298487585,45.3961477678734,46.0128825373584,46.2894540921862,48.2797563378225,44.0062181452413,41.9643469254711,46.0403818630037,57.2987784324983,52.2856190790946
"Cox17",762.037179038105,789.172809650583,759.51247227019,711.846359254427,658.772020343534,637.103451281462,887.861719941353,738.393934199246,685.959450876312,682.37636133248,682.570185682826
"Adprh",389.204118716641,389.282392051672,463.389908368985,509.119012075124,399.551077427291,487.53087282311,441.754728304153,376.429120505928,350.371529865703,428.438593279362,491.141962824938
"Cd80",70.0396585254526,67.1841617991738,49.5865614079848,51.4261628358712,52.9486387159744,37.393144614588,56.0958385148131,61.9643760984615,52.7986030539033,46.8808187174986,41.9999235225514
"Arhgap31",49.5402462741006,40.5033702712723,34.9201136675949,25.9837454328612,41.5792991143848,31.2398423362381,29.9822585165381,46.428639151585,46.8851595118662,35.160614038124,27.7142352495748
"Lsamp",87.5495731568158,81.4889235219644,75.427445522005,68.748659791112,75.8497370563191,65.7930012838954,85.5945122165683,89.8215595894125,84.2665704740297,74.2279629693728,71.9998688958025
"Zbtb20",140.791102198522,137.422149134674,230.472750206126,215.989883910659,131.721920241274,218.205565409178,253.156650538833,138.393059009532,128.617397039309,237.008583516243,222.285309527517
"Atp6v1a",177.092144726957,172.300051312714,143.172466037139,143.451927910588,193.116354089857,170.872470960333,142.415727953556,206.428872535509,198.100358658245,160.17613061812,173.428255633937
"Naa50",68.0466601121267,74.7383618100857,72.9830375652734,82.8231885672451,67.0791036493786,76.6796130071298,76.8899855504766,75.7143961548925,73.9180442754647,83.3436777199975,75.1427203158573
"Gtpbp8",15.2322021589907,14.9476723620171,20.2536659272051,19.2171450597203,16.4043328537221,15.619921168119,16.9254685174005,18.2143122825449,18.1627194505428,16.9291845368745,20.5713911130864
"Cd200r1",77.0151529720932,88.0787575740365,73.6814398386253,75.2445961493273,80.0726346226238,73.8396273401991,76.4064007356938,78.2143998015163,78.141932519777,59.9032683612482,80.2855680941289
"Cd200r4",185.918280557401,189.980093891444,194.85423426518,203.53933922408,192.629096678361,158.092535459144,224.383354059253,165.35738405526,155.439087390691,131.526741401871,151.142581928093
"Ccdc80",99.3652066072478,101.579880997794,106.157145549489,134.520015418042,105.247600883286,138.212635790629,107.597621289189,99.6430024868632,82.3658207640892,109.388577007497,122.856919147599
"Atg3",77.1575100016165,70.8808979747265,77.1734512053848,86.6124847762041,70.1650672555243,81.4129224520144,102.036395919186,77.1429696672489,71.8061001533085,92.4593924706222,100.571245441756
"Cd200",133.815607751881,139.672336371967,126.061610340018,104.746973776222,112.881300330068,109.339448176833,124.281297399198,139.10734576571,121.859175848409,144.549191045621,120.571209023923
"Cd47",205.705907661136,193.03391942777,249.678812723304,252.52952592562,197.664089930493,227.198853354459,228.493824984907,216.250315432959,196.199608948305,218.777154014993,231.428150022222
"Bbx",24.7701231370503,25.0735149298352,25.4916829773443,34.374329895556,25.6622236721594,36.4464827256111,28.7732964795809,31.7857606499313,27.4552735880297,40.3695938956238,39.4284996334156
"Dubr",28.0443348160857,27.3237021671281,19.2060625171772,24.3597613433074,25.4998045349938,27.4531947803304,24.9046179613179,27.1428967347728,24.2873574047955,23.4404093587493,30.8570866696296
"Alcam",130.541396072846,122.956659752077,120.823593289878,121.798806716537,125.062735617486,119.752728955579,115.576770733106,136.607342119087,135.164423817993,118.504291758121,116.856930072949
"Nfkbiz",212.39668804873,212.481966264373,173.203763791271,165.917041149416,215.692614155871,160.459190181587,163.451667396611,206.07172915742,215.840689284357,157.57164068937,168.571121621125
