"","sgCtu1-g1-R1-input","sgCtu1-g1-R2-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgCtu2-g1-R2-polysome","sgCtu2-g2-R1-input","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome"
"Mbtd1",25.0756938681407,22.8511810710747,23.8617850777861,28.4703730959745,21.0196782507461,23.5067524358441,30.1606691506851,21.1035529322153,23.0996854113008,22.3578205051728,25.2541570549901,30.0058265175741,16.0745553229353,38.1533593182153,14.7630826895274,28.8537429862622,21.6152151228848,18.5338674017368,25.6285883489373,17.5187280064479,19.9356924701202,19.8023361762473,27.3257647860633,21.4050880584099
"Nme2",724.87329866977,463.255761713606,924.246475346247,1008.04422707611,773.281624878411,801.55698404997,877.401284383566,908.960172723274,743.861779649304,794.101874728368,983.737513188569,972.1887791694,750.741268971164,567.243920465996,846.416740866237,936.435113281418,651.67574104527,718.660164557141,790.825011910066,842.150282024247,689.969454026843,681.640416377934,912.26014747319,900.170730240158
"Nme1",419.321325239463,278.368933047638,672.902339193567,659.644068172832,418.978778978815,427.078125938355,531.924528657537,593.411809832054,406.969738482243,428.192187353532,646.036575825329,609.718394837105,450.087549042189,345.678629003589,506.865839007107,733.934298868742,427.705320516656,392.993637355194,591.288145479054,589.380063645498,402.603740616086,390.766100544613,575.943042413949,650.251864260885
"Spag9",57.1168582552093,48.8184322882051,45.6025225931023,47.2897722611101,50.7301850090123,40.9622616703817,41.1281852054796,39.1923125883999,50.6116702831871,46.7118749840217,55.2067619341644,40.0077686900988,39.2933574560641,48.266297932682,59.0523307581095,44.067534742655,58.4070706511992,49.9279693271277,56.7490170583612,46.9251643029855,45.9493399616185,47.9656587380212,63.0594571986076,43.9672079037609
"Tob1",19.9676821542602,41.5476019474086,22.2709994059337,23.6448861305551,29.5083944673936,24.6704530514799,20.1071127671234,24.6208117542512,26.7333437906065,24.1544310814813,21.730321186852,18.8036512843464,29.7676950424728,25.2823465361667,24.605137815879,20.4599268448041,27.1339934521319,26.8551956229247,18.3061345349552,26.903760867045,32.5778389145867,28.6033744768016,23.1218009728228,20.2480562714689
"Luc7l3",32.5055290883305,67.514853164539,44.0117369212498,52.1152592265296,38.6034475566588,44.4533635172893,50.2677819178084,50.7490201465178,38.6725070368968,41.3220432550961,59.3179037803256,49.2095554888215,50.6050815722037,51.4840511281941,78.7364410108127,45.1167617603372,47.3695139927049,49.1714849433833,45.765336337388,63.1925545946872,38.8989121368199,44.8852953328271,73.5693667317088,46.8597873711136
"Ankrd40",19.9676821542602,13.5029706329078,12.1960234842018,20.2670452547615,17.9879938876578,19.317430219555,10.9675160547946,15.5764319261589,16.8705567610624,17.7664823657176,18.7937912967368,11.6022529201286,16.6699092237848,17.9274820892819,19.6841102527032,20.4599268448041,17.9360295700533,17.7773830179924,16.4755210814597,10.6363705753434,15.559564854728,15.8418689409978,10.5099095331013,15.041413230234
"Lrrc59",65.011058176661,38.431531801353,55.6774985148341,53.0803566196134,62.4526978796208,61.6761326286998,40.2142255342468,53.7638134225485,56.5812519063323,54.8964342760938,59.3179037803256,58.0112646006432,61.9168056883434,51.4840511281941,98.4205512635159,40.9198536896082,61.6263580099268,57.1145709726991,42.104109430397,65.0695611668066,60.536432012926,62.4873719339358,35.7336924125443,56.6945575601128
"Mrpl27",106.339516588967,67.514853164539,149.003591263509,157.310875072673,122.277935977898,124.283225749908,142.577708712329,139.685421789425,128.216231384074,135.344663415242,146.239188527733,152.829676396177,151.815244716611,75.3873605805699,167.314937147977,177.319365988302,128.311596154997,114.229141945398,139.12662246566,130.139122333613,100.407816953166,113.973445992179,130.322878210456,134.215687285165
"Ppp1r9b",8.35856462271355,12.4642805842226,10.6052378123494,7.72077914467104,5.65914414443166,8.14590430945092,11.8814757260275,13.5665697421384,6.48867567733168,6.38794871576365,9.98420162639144,16.8032628498415,6.54889290934401,17.0081240334213,4.9210275631758,14.1645647387105,7.81826929976683,9.0778126049323,9.15306726747761,9.3850328605971,8.50913702992936,14.9617651109424,8.40792762648101,12.1488337628813
"Kat7",15.3240351416415,11.4255905355374,13.2565472654367,21.2321426478454,17.3816570150401,20.0156505889365,7.31167736986305,13.5665697421384,18.6873859507152,19.5630929420262,15.8572614066217,13.6026413546336,15.4792014220859,16.548445005491,24.605137815879,14.1645647387105,17.4761313759494,20.4250783610977,20.1367479884507,16.2673902917016,19.2063378675548,16.7219727710532,18.9178371595823,20.2480562714689
"Slc35b1",63.6179640728754,43.624982044779,79.0090217020027,79.6205349294201,63.8674839157287,75.1750597700756,69.4609350136989,77.3796940847895,73.1922616403014,68.6704486944592,81.0482249671776,86.8168580575144,58.3446822832467,53.7824462678456,24.605137815879,91.2827505383568,61.6263580099268,69.596563304481,64.0714708723433,60.6898791651946,62.9676140214772,63.3674757639913,75.6713486383291,85.6203522336397
"Spop",98.4453166675152,132.952326231708,81.6603311550901,75.7601453570846,108.736412489437,106.827716515371,82.2563704109593,76.3747629927792,108.231110297892,93.2241265706757,71.0640233407862,72.0139836421778,100.614809243558,103.887460312249,73.8154134476369,59.8059400078889,118.19383588471,117.255079480376,76.8857650468119,72.5775874552843,113.536199799343,96.8114213060978,75.6713486383291,82.1492568728165
"Phb",17.181493946689,14.541660681593,13.7868091560542,20.7495939513034,14.1478603610791,14.4298876338845,20.1071127671234,15.5764319261589,16.6110097339691,14.5725080078358,16.4445673846447,27.6053603961682,10.7163702152902,13.7903708379091,19.6841102527032,9.44304315914035,16.5563349877415,17.0208986342481,16.4755210814597,13.1390460048359,17.2613922607138,16.2819208560255,16.815855252962,18.5125085910572
"Zfp652",6.5011058176661,14.541660681593,6.89340457802709,7.2382304481291,8.8929407983926,7.21494381694224,8.22563704109593,12.5616386501282,11.1605221650105,10.5800400604835,5.28575380220723,12.4024082939306,7.73960071104293,17.0081240334213,4.9210275631758,15.7384052652339,8.73806568797469,8.32132822118794,9.15306726747761,7.50802628847768,12.3990282436113,5.2806229803326,4.20396381324051,8.67773840205808
"Gngt2",225.681244813266,136.068396377763,231.194184309216,218.594559533499,242.332636756198,236.929445343458,235.801595178083,204.001011678081,225.027272489863,223.777828449095,203.207868395967,197.238299642187,250.048638356771,202.258772289334,177.156992274329,266.503662491294,233.628282604797,233.375432385135,210.520547151985,206.470722933136,240.443900645718,238.94818986005,182.872425875962,203.63759450163
