"","sgCtu1-g1-R1-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome"
"Chchd10",57.4077499352571,91.3024038381754,84.2613940205078,59.1611303237278,57.9530018969485,91.232780810055,50.3335402938844,54.3674561130781,85.2511958379954,89.7817218340565
"Prmt2",10.9929733918577,16.1291312774064,19.1268195015877,14.0580903739551,14.4208632627291,22.3349961319222,14.3014118178196,10.7621585479813,15.5947309459748,14.2259770511709
"Mcm3ap",17.3037544131094,19.0093332912289,15.5082320283143,18.3536179882192,15.3642842238422,12.8710147200907,21.5449840372347,15.4010199910767,19.7533258649014,19.9163678716393
"Pofut2",36.6432446395258,29.9541009437547,32.3088167256548,33.3879646381434,35.9847709453146,30.6632997743338,34.3605348869691,33.3998023902869,23.911920783828,26.5551571621857
"Fam207a",9.97510548520425,15.8411110760241,14.9912909607038,9.56731150449723,10.7819538412928,14.0066924895105,14.6728770598409,9.83438625936226,17.6740284054381,12.0130472876555
"Itgb2",372.74322741651,304.725373062428,293.364055868946,411.003892182993,373.864249446826,279.755290533737,382.609199281926,363.68673713868,298.379185432984,305.700440188495
"Pttg1ip",133.137122190277,173.100141030736,184.03102006933,156.396255410251,142.187016282048,214.264539163864,144.499979146281,148.443566179053,208.969394676062,182.724771901707
"Sumo3",48.8576595193677,58.4681008805981,61.774457579452,52.327336391944,50.6751830540759,81.3902401417503,50.7050055359057,49.5430402122589,71.7357623514839,62.5942990251521
"Ube2g2",23.2073882716997,22.1775555064338,26.1055239143291,22.6491456024832,24.3941705659248,21.1993183625024,20.0591230691495,19.4832180610007,24.9515695135596,29.4003525724199
"Pfkl",22.1895203650462,21.0254747009047,15.7667025621196,17.5726129674439,16.4424796079714,11.3567776941977,20.6163209321815,18.9265546878292,16.6343796757064,23.3938289285922
"Dnmt3l",12.4179884611726,10.3687272497612,9.04646868318335,13.8628391187613,13.7469911476483,8.70686289888491,11.7011551236706,10.0199407170861,8.31718983785321,7.90332058398385
"Trappc10",10.1786790665349,9.50466664561447,9.56340975079383,8.00530146294666,6.87349557382413,9.08542215535817,6.87210697739382,10.3910496325337,7.27754110812156,10.4323831708587
"Agpat3",17.5073279944401,19.0093332912289,13.1819972240672,22.6491456024832,16.7120284540038,17.4137257977698,15.7872727859047,18.3698913146578,20.792974594633,20.8647663417174
"Rrp1",40.1039955221477,40.3228281935159,37.9951684693701,31.630703341399,38.5454849826216,38.9916034167455,41.0469092433523,45.0897332268873,49.9031390271193,49.3167204440592
"Cstb",3684.27467492299,6903.84422713269,6946.39559601579,3854.84553129161,3381.89459674449,6787.5674685655,3616.02839845622,3480.07385461017,7797.36547298738,6709.91917580229
"Pdxk",16.6930336691173,21.6015151036693,23.7792891100819,18.7441204986068,19.8118401833754,20.4421998495559,16.5302032699473,16.5143467374196,20.792974594633,25.922891515467
"Ilvbl",11.1965469731884,10.9447676525258,11.1142329536253,13.081834097986,14.2860888397129,9.08542215535817,13.558481333777,10.7621585479813,10.3964872973165,9.48398470078062
"Olfr57",9.77153190387355,7.77654543732093,9.56340975079383,8.20055271814048,10.7819538412928,7.9497443859384,11.8868877446812,11.6899308366004,3.11894618919495,7.27105493726514
"Mier2",13.0287092051647,12.6728888608193,12.6650561564567,16.7916079466686,14.9599609547937,18.5494035671896,14.1156791968089,16.6999011951435,23.911920783828,15.4905083446083
"Tpgs1",7.53222250923586,10.080707048379,10.3388213522095,8.78630648372194,6.60394672779181,11.735336950671,7.61503746143639,6.30885156260975,8.31718983785321,7.90332058398385
"Cdc34",20.7645052957313,11.5208080552903,14.2158793592881,18.7441204986068,22.1030053746501,14.3852517459838,19.8733904481389,22.8231983000294,15.5947309459748,12.9614457577335
"Bsg",62.4970894685246,69.4128685331239,66.6853977217515,69.8999493593879,63.7483020866434,69.6549031910793,66.1208130797892,66.0573869496785,70.6961136217523,66.7040257288237
"Ptbp1",32.3681994315811,27.0738989299321,25.3301123129134,34.5594721693063,32.0763126778459,20.4421998495559,33.8033370239372,33.9564657634584,29.1101644324862,27.8196884556232
"Elane",13.4358563678261,25.3457777216386,26.1055239143291,9.17680899410959,15.4990586468583,16.6566072848233,13.0012834707451,19.6687725187245,18.7136771351697,35.0907433928883
"R3hdm4",34.4039352448881,32.2582625548128,31.5334051242391,32.4117083621743,32.0763126778459,35.9631293649594,27.8598931515966,31.9153667284964,35.3480568108761,32.8778136293728
"Tmem259",13.2322827864954,14.4010100691128,17.0590552311457,18.7441204986068,15.0947353778099,11.735336950671,17.4588663750005,16.5143467374196,18.7136771351697,18.6518365782019
"Cnn2",19.9502109704085,21.6015151036693,17.5759962987562,20.3061305401574,20.3509378754401,26.8777072096013,15.6015401648941,21.153208180515,13.5154334865115,16.4389068146864
"Arhgap45",27.4824334796444,19.8733938953757,19.9022311030034,25.5779144303905,26.0114636421188,18.9279628236629,21.916449279256,26.9053963699533,20.792974594633,24.3422273986703
"Polr2e",63.5149573751781,79.4935755815029,86.8460993585602,68.9236930834188,78.8430374644532,89.3399845276887,61.6632301755337,59.562980929345,66.5375187028257,75.2396119595263
"Gpx4",450.101188322175,619.531453173234,586.728111737891,490.861655557266,500.282658235984,675.728272804764,460.245434864375,447.742906487568,676.811323055305,555.761503465744
"Stk11",38.4754068715021,37.7306463810756,33.601169394681,36.9024872316322,32.3458615238783,35.5845701084862,34.1748022659584,40.2653173260681,23.911920783828,36.9875403330444
"Atp5d",194.005623008156,314.518059909424,336.01169394681,216.924144520335,200.813890294077,364.174004727273,182.017968590431,185.74001218154,345.163378270908,303.48751042498
"Cirbp",22.3930939463769,22.465575707816,25.5885828467186,30.4591958102361,26.4157869111672,30.2847405178606,25.4453690784582,22.0809804691341,22.8722720540963,26.5551571621857
"1600002K03Rik",16.6930336691173,28.5139999368434,26.3639944481343,18.548869243413,21.5639076825855,18.1708443107163,16.3444706489366,18.7410002301054,27.0308669730229,27.5035556322638
"Ndufs7",233.295324204981,434.334463684443,455.166610031025,244.454571502664,248.254487195766,412.62958955585,221.764749486709,204.481012411645,386.749327460174,400.856420019661
"Dazap1",36.2360974768644,42.3389696031917,42.9061086116696,36.5119847212445,34.0979290230883,32.1775368002269,42.3470375904268,33.9564657634584,41.585949189266,44.5747280936689
"Rps15",1463.69404976773,1538.02787538125,1545.39532162152,1484.10479072823,1412.16640436332,1517.64405920129,1319.44453965961,1273.831352274,1319.31423802947,1275.91207507835
"2310011J03Rik",20.5609317144006,22.7535959091983,23.5208185762767,24.9921606648091,22.9116519127471,26.499147953128,20.2448556901602,23.194307215477,24.9515695135596,21.1808991650767
"Adamtsl5",20.3573581330699,15.5530908746419,16.8005846973405,21.8681405817079,21.6986821056017,20.8207591060291,26.1882995625008,20.7820992650674,15.5947309459748,17.0711724614051
"Mbd3",18.5251959010936,19.2973534926112,15.2497614945091,16.5963566914748,12.9383446095513,19.6850813366094,16.158738027926,16.6999011951435,15.5947309459748,16.4389068146864
"Uqcr11",171.408955480448,255.185898424679,228.229481350026,174.164119632888,176.419719728153,215.02165767681,191.861797503995,173.493417971768,226.6434230815,227.931765642094
"Csnk1g2",14.0465771118182,9.79268684699673,10.3388213522095,13.8628391187613,10.7819538412928,8.32830364241166,15.0443423018621,14.8443566179053,8.31718983785321,9.80011752413997
"Btbd2",6.92150176524376,7.48852523593867,10.85576241982,8.59105522852812,7.27781884287261,7.19262587299189,9.84382891356412,7.60773276667646,10.3964872973165,7.5871877606245
"Mknk2",32.3681994315811,21.8895353050515,21.1945837720296,28.311432003104,29.6503730635551,20.4421998495559,28.6028236356391,33.3998023902869,23.911920783828,26.2390243388264
"Mob3a",14.860871437141,8.35258584008544,12.9235266902619,14.0580903739551,16.1729307619391,13.249573976564,11.3296898816493,15.4010199910767,13.5154334865115,7.5871877606245
"Ap3d1",40.9182898474705,42.0509494018095,44.1984612806958,35.5357284452754,31.1328917167328,36.7202478779059,41.7898397273948,34.8842380520774,48.8634902973876,43.3101968002315
"Dot1l",19.3394902264164,16.9931918815531,16.8005846973405,13.4723366083736,12.668795763519,10.9782184377245,22.2879145212772,19.2976636032769,20.792974594633,16.1227739913271
"Plekhj1",22.8002411090383,19.8733938953757,21.1945837720296,21.6728893265141,21.5639076825855,24.6063516707617,23.959508110373,22.2665349268579,19.7533258649014,21.4970319884361
"Oaz1",663.649875138078,662.158442977808,686.497737786714,739.807005929388,722.930005058679,653.014717416369,657.493478377679,621.236324459337,529.18120343341,597.491036149179
"Lsm7",169.373219667141,232.720322716863,216.856777862595,183.145677371804,171.567840499571,206.314794777925,166.230695804526,154.381308826215,240.158856568011,214.970319884361
"Timm13",249.988357874098,364.633574949937,368.320510672465,265.541707063597,248.79358488783,345.24604190361,270.798161433519,252.910725877561,427.295627919709,340.791183581384
"Gadd45b",74.3043571857051,69.1248483317416,84.0029234867025,59.942135344503,57.5486786279001,60.9480402921944,86.55140139096,77.9328722440028,87.3304932974587,75.2396119595263
"Sgta",30.3324636182741,30.242121145137,32.3088167256548,41.1980148458962,35.3108988302338,30.6632997743338,36.2178610970755,35.0697925098013,27.0308669730229,29.0842197490606
"Map2k2",44.9897614740845,59.0441412833626,62.5498691808677,45.6887937153541,38.4107105596054,51.8626181368362,44.9472942845758,45.6463966000588,54.0617339460459,61.645900555074
"Zbtb7a",26.2609919916602,20.4494342981402,17.0590552311457,22.2586430920956,21.8334565286178,19.3065220801361,24.7024385944156,28.2042775740201,38.4670030000711,27.8196884556232
"Eef2",381.904038576391,219.759413654662,220.216894802063,389.721505366867,396.641126936557,231.678264961633,415.112407958789,393.37545037449,272.387967189693,256.699852567795
"Mrpl54",32.7753465942425,53.859777658482,51.6941067610477,33.3879646381434,29.2460497945066,52.2411773933095,29.3457541196817,28.2042775740201,45.7445441081927,46.7876578571844
"Pip5k1c",76.5436665803428,59.6201816861271,60.4821049104258,65.40917048993,61.0528136263202,54.1339736756758,53.8624600930867,55.1096739439734,48.8634902973876,52.4780486776528
