"","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgCtu1-g1-R1-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome"
"Gm38407",0.557197863031931,0,0,0,0.203573581330699,0,0,0,0.134774423016159,0.757118512946514
"7420701I03Rik",0,0.185554457723816,0,0,0,0,0.258470533805239,0,0,0
"Kcns3",0.557197863031931,0.556663373171448,0,0.316132823359354,1.01786790665349,1.15208080552903,0.775411601415716,0.585753765581463,0.269548846032319,0
"9530020I12Rik",0,0,0,0,0,0,0,0,0,0
"Msgn1",0,0,0,0,0,0,0,0,0,0
"Gen1",7.05783959840446,7.60773276667646,4.1585949189266,4.1097267036716,7.32864892790516,7.48852523593867,4.65246960849429,5.66228640062081,6.33439788175949,6.43550736004537
"Smc6",36.5893263390968,38.9664361220014,45.7445441081927,55.9555097346057,33.3860673382346,46.9472928253078,50.1432835582163,37.097738486826,36.7934174834115,42.0200774685315
"Vsnl1",0.185732621010644,0.371108915447632,0,0.316132823359354,0,0,0,0.195251255193821,0,0
"4930511A02Rik",0,0,0,0,0,0,0,0,0,0
"Rad51ap2",0,0,0,0,0,0,0,0,0,0
"Gm47808",0,0,0,0,0,0,0,0,0,0
"Gm47833",0.371465242021287,0,0,0,0.203573581330699,0,0,0,0.134774423016159,0
"Gm34237",0,0.371108915447632,0,0.316132823359354,0.407147162661398,0.288020201382257,0.258470533805239,0.195251255193821,0.269548846032319,0
"Fam49a",8.9151658085109,9.09216842846699,10.3964872973165,12.0130472876555,8.95723757855075,11.5208080552903,7.75411601415716,8.78630648372194,9.02988634208268,9.08542215535817
"4921511I17Rik",0.185732621010644,0.927772288619081,1.03964872973165,0,0,0.576040402764513,0.258470533805239,0,0.404323269048478,0
"Platr19",0,0,0,0,0,0,0,0,0,0
"Gm48187",0,0,0,0,0,0,0,0,0,0
"4930519A11Rik",0,0,0,0,0,0,0,0,0,0
"Gm40271",63.3348237646295,61.0474165911355,61.3392750541674,75.871877606245,52.5219839833203,80.6456563870319,80.3843360134292,57.9896227925648,61.4571368953687,67.762106908713
"Mycn",0,0,0,0,0,0,0.258470533805239,0,0,0
"Gm35208",0,0,0,0,0,0,0,0,0,0
"Gm48209",0,0,0,0,0,0,0,0,0.134774423016159,0
"Gm35298",0,0.185554457723816,0,0,0,0,0,0,0,0
"Gm48213",0,0,0,0,0,0,0,0,0,0
"Ddx1",29.1600214986711,29.6887132358106,28.0705157027546,47.4199235039031,36.6432446395258,43.4910504087208,39.5459916722015,34.3642209141125,29.2460497945066,29.1490627484408
"Nbas",9.47236367154283,7.42217830895265,4.1585949189266,3.79359388031225,7.73579609056656,4.03228281935159,5.94482227752049,5.46703514542699,8.08646538096956,3.40703330825931
"Gm48311",0,0,0,0,0,0,0,0,0,0
"Gm35725",0.371465242021287,0,0,0,0.203573581330699,0,0.516941067610477,0,0,0
"Gm35890",0,0,0,0,0,0,0,0,0,0
"Gm48479",0.371465242021287,0,0,0.948398470078062,0,0.288020201382257,0,0,0.269548846032319,0
"Gm48480",0,0,0,0,0,0,0,0,0,0
"Lratd1",0,0.185554457723816,0,0,0,0,0,0,0,0
"Gm16497",0,0,0,0,0,0,0,0,0,0
"4930448C13Rik",0,0,0,0,0.203573581330699,0,0,0,0,0
"Gm48539",0,0,0,0,0.203573581330699,0,0,0,0,0
"Trib2",0,0,0,0,0,0,0.258470533805239,0,0.134774423016159,0
"Gm5432",0,0,0,0.316132823359354,0,0,0,0,0.134774423016159,0
"Gm48558",0,0,0,0,0,0,0,0,0,0.378559256473257
"Gm48584",0,0,0,0,0,0,0,0,0,0
