"","sgCtu1_input","sgCtu1_polysome","sgCtu2_input","sgCtu2_polysome","sgCtu1_TE","sgCtu2_TE"
"Ing5",0.227156068901907,0.00359564988359384,-0.149722520089793,-0.783722306439705,-0.223560419018312,-0.633999786349912
"Zcchc2",-0.156007978663544,-0.209138555439668,-0.293720891623501,-0.0604282539542069,-0.0531305767761241,0.233292637669294
"Serpinb2",0.274955291570519,0.269393737581817,0.015839839842176,-0.147416313255765,-0.00556155398870217,-0.163256153097941
"Nifk",0.31987903152323,0.154103625239102,0.32665750271401,-0.013484831252339,-0.165775406284128,-0.340142333966349
"Tmem37",0.225347900112927,0.278449221216495,0.293637930827873,0.23403822567313,0.0531013211035685,-0.059599705154743
"Mgat5",0.0220944714829265,-0.434544041201103,-0.0631258587758401,-0.366114052559866,-0.456638512684029,-0.302988193784026
"Mcm6",-0.107277623943005,-0.414523913450563,-0.272993432499106,-0.607798734269071,-0.307246289507558,-0.334805301769965
"Cxcr4",0.306034663908058,0.225753106901009,0.505258370498602,0.275675586014105,-0.0802815570070492,-0.229582784484497
"Il10",0.182014544357957,0.41033448135384,0.288787724903865,0.285280355176934,0.228319936995883,-0.00350736972693078
"Mapkapk2",-0.125328912912861,-0.136856283040403,-0.346043618831051,-0.295527157617496,-0.0115273701275411,0.0505164612135554
"Rab7b",0.0133545315640795,0.057999830539007,0.186812005413374,0.338732266167291,0.0446452989749275,0.151920260753918
"Nucks1",-0.0628269293862402,-0.289679010759444,-0.139429062962702,-0.380627073394221,-0.226852081373203,-0.241198010431519
"Ppp1r15b",-0.0594228783286903,-0.110361527848559,-0.282679130815747,-0.408158691319164,-0.0509386495198685,-0.125479560503417
"Btg2",0.107561948811385,0.0146716234835713,0.401012982145354,0.574657856725056,-0.0928903253278133,0.173644874579702
"Kif21b",-0.51717097064094,-0.805550515522666,-0.219188162451471,-0.409830113044828,-0.288379544881726,-0.190641950593356
"Ptprc",-0.133642845253971,-0.142619008402369,-0.201128505760363,-0.316049682134914,-0.00897616314839844,-0.114921176374551
"Glrx2",0.0256673980925113,-0.022446752071418,0.229382581541262,0.198286531562011,-0.0481141501639293,-0.0310960499792516
"Rgs2",-0.0397498528210303,0.0522088265636782,0.115433556040269,0.314554952010793,0.0919586793847085,0.199121395970524
"Rgs1",0.159935949516107,0.4700847534637,0.192809231120188,0.323404431289665,0.310148803947593,0.130595200169477
"Ptgs2",-0.0245270925312013,0.0660226824576107,-0.248550507092467,-0.153161354291862,0.090549774988812,0.0953891528006041
"Smg7",-0.056623283695167,0.115287985126823,-0.367649701823021,-0.10720647684164,0.17191126882199,0.260443224981382
"E330020D12Rik",0.455684709267045,-0.175535432773037,0.557632125476189,0.149218316607991,-0.631220142040083,-0.408413808868198
"Dhx9",-0.0835163596364268,-0.271231562907428,-0.13947121535051,-0.589957379485603,-0.187715203271002,-0.450486164135093
